edname,small_area,vector
Lucan-St. Helen's,267103022,0.013778071961095461
Beaumont D,268024004,0.013777183150746544
Blanchardstown-Blakestown,267028026,0.013769530658301
Dún Laoghaire-Sallynoggin South,267073006,0.01376827076380742
Baldoyle,267004018,0.01376752304074338
Priorswood A,268121001,0.013767353139253506
Blanchardstown-Coolmine,267029016,0.01376734954620103
Priorswood C,268119004,0.01376575156208375
Ballybrack,267015001,0.01376127244628428
Blanchardstown-Roselawn,267033004,0.013759331215162323
Tallaght-Avonbeg,267136001,0.013754501972089182
Finglas South C,268068003,0.013752095901994714
Blanchardstown-Corduff,267030012,0.013750841892031532
Grange E,268075008,0.013737893658304039
Clondalkin-Dunawley,267049029,0.013737255382816213
Whitehall C,268159006,0.013733538619192123
Kilmore D,268087001,0.013728130951727355
Killiney South,267097008,0.01372801794972482
Finglas South C,268068009,0.01371844242962066
Raheny-St. Assam,268126002,0.013713702376600013
Cabra East A,268030005,0.013713371090370534
Tallaght-Oldbawn,267146011,0.013711032953695367
Beaumont A,268021010,0.013709638892195541
Blanchardstown-Delwood,267031005,0.013707607212997257
Lucan Heights,267101014,0.013704229188875898
Priorswood E,268123001,0.013699579269085962
Firhouse Village,267084037,0.01369956018093875
Terenure-St. James,267157005,0.013697275632353886
Grange D,268074011,0.013694751613524795
Raheny-Greendale,268125005,0.01369382041693474
Clondalkin-Rowlagh,267052004,0.013692374896082262
Blanchardstown-Delwood,267031002,0.013684482980049022
Balbriggan Rural,267002025,0.013683373073494208
Templeogue-Orwell,267152001,0.013681057516111386
Dundrum-Balally,267078015,0.013680907845781617
Carna,268039001,0.013676430225791939
Tallaght-Kilnamanagh,267142004,0.013674744527211706
Churchtown-Nutgrove,267044008,0.013672270474352972
Holmpatrick,267094012,0.013669044725643117
Blanchardstown-Delwood,267031007,0.013664524758028618
Templeogue-Orwell,267152004,0.013662421404119949
Clondalkin-Dunawley,267049028,0.013657270463979312
Blanchardstown-Delwood,267031003,0.013652731727124641
Blanchardstown-Delwood,267031013,0.01364922198125099
Lucan-St. Helen's,267103009,0.013645324862079767
Lucan Heights,267101009,0.013641299292339414
Palmerston Village,267108006,0.013637985086243523
Rathcoole,267112008/02,0.013633892086474524
Portmarnock North,267110012,0.013632998708979294
Blanchardstown-Delwood,267031001,0.013631275845188485
Clondalkin-Moorfield,267051002,0.013630785142638404
Priorswood D,268120001,0.013627076980733876
Lucan-Esker,267100013,0.013626208072095702
Ballinteer-Ludford,267009007,0.013624443670379644
Sutton,267130012,0.013622577356847547
Ballinteer-Marley,267010007,0.013615493249320269
Finglas South D,268069007,0.013611572494534069
Firhouse-Knocklyon,267086007,0.013609370349221135
Tallaght-Millbrook,267145003,0.0136070040050078
Stillorgan-Kilmacud,267125010,0.013606342655793618
Finglas South B,268067002,0.013603539240359463
Blanchardstown-Delwood,267031004,0.013598646936558878
Lucan-Esker,267100011,0.013593230558051488
Finglas South C,268068002,0.013590501988175753
Finglas South D,268069006,0.013588053722694893
Clondalkin-Rowlagh,267052003,0.013582597557791105
Dundrum-Sandyford,267080017,0.013582063929149579
Tallaght-Oldbawn,267146003,0.013581886999591994
Firhouse Village,267084040,0.01357759282773092
Blanchardstown-Coolmine,267029005,0.013577464362599273
Templeogue-Osprey,267153001,0.013573236137467071
Finglas South C,268068001,0.01356998704731009
Rathfarnham-St. Enda's,267116009,0.013564264801426584
Raheny-St. Assam,268126001,0.01356255059253547
Portmarnock South,267111008,0.013562435838329097
Swords-Glasmore,267131002,0.013559162683630301
Malahide West,267106023,0.013543973188847522
Grange D,268074008,0.013539051758224998
Cabra East A,268030015,0.013537587967505944
Finglas South D,268069009,0.013528372298711676
Palmerston Village,267108014,0.013519298726288398
Templeogue-Osprey,267153004,0.013517926633830873
Tallaght-Avonbeg,267136004,0.013517745420935829
Kilmore A,268088003,0.013516842545997962
Lucan-St. Helen's,267103028,0.013514432403863819
Firhouse-Knocklyon,267086011,0.013512934208443678
Blanchardstown-Roselawn,267033005,0.013505782123808424
Blanchardstown-Corduff,267030010,0.013501172772202256
Lucan Heights,267101008,0.013500778867991538
Tallaght-Kingswood,267144004,0.013498372764966595
Rathfarnham-Ballyroan,267113007,0.013493475448547582
Kilmore D,268087005,0.01349288929024983
Malahide East,267105009,0.013488615296153332
Dundrum-Sandyford,267080016,0.013486179715252237
Malahide East,267105006,0.01348557627588061
Rathfarnham-Ballyroan,267113006,0.013484152264214233
Tallaght-Tymon,267148006,0.013481882338014358
Portmarnock North,267110013,0.013480974286178631
Tallaght-Killinardan,267141002,0.013480957619408034
Ayrfield,268008001,0.013477543320371748
Tallaght-Springfield,267147019,0.013477349468078265
Templeogue-Orwell,267152006,0.013473237568749729
Templeogue-Cypress,267149005,0.013472299096681772
Firhouse-Knocklyon,267086005,0.013465166620950736
Tallaght-Springfield,267147028,0.013465109786220975
Tallaght-Tymon,267148001,0.013459800581339547
Skerries,267123025,0.013458794489581465
Shankill-Rathsallagh,267121002,0.013457654314690183
Cherry Orchard C,268040009,0.013452887607886908
Kilmore B,268089005,0.013452081007904581
Dundrum-Sandyford,267080019,0.013451794825599005
Grange D,268074004,0.01345066456725815
Lucan Heights,267101007,0.01344943008775576
Templeogue-Orwell,267152002,0.013441131669292927
Tallaght-Jobstown,267140049,0.013439731642800505
Finglas South C,268068005,0.013438755787037822
Firhouse-Knocklyon,267086002,0.013436229152483768
Portmarnock North,267110014,0.013433674913422941
Ballymun C,268017005,0.01343202636789858
Killiney South,267097017,0.013429634502854332
Clondalkin-Rowlagh,267052010,0.013427708394070564
Ballinteer-Marley,267010005,0.01342741516060351
Blanchardstown-Corduff,267030008,0.013427331912467234
Whitehall A,268157001,0.013425915918734606
Ballymun F,268020005,0.013420189872328509
Kilmore B,268089004,0.013417754075583958
Kilmore B,268089001,0.013414684691113156
Kilmore C,268086001,0.013414618482036643
Ballymun C,268017009,0.013407609206371372
Edenmore,268062008,0.01340579177579878
Botanic A,268027005,0.013403013731272086
Clondalkin-Moorfield,267051004,0.013394918637563525
Priorswood A,268121004,0.013394808775764456
Swords-Glasmore,267131008,0.013393531937825479
Priorswood D,268120004,0.013386908244598747
Clondalkin-Dunawley,267049036,0.013386894773718697
Ballinteer-Woodpark,267007011,0.01338075635661996
Clondalkin-Ballymount,267047003,0.013379246096551457
Castleknock-Park,267041007,0.0133767638229585
Finglas North A,268063002,0.01337175060421812
Templeogue-Cypress,267149003,0.013369966088840652
Templeogue-Cypress,267149001,0.013368793263396628
Finglas South B,268067007,0.013366662826772218
Lucan Heights,267101015,0.013364591683100144
Lucan-St. Helen's,267103007,0.013363080717013701
